LATITUDE,LONGITUDE,BOROUGH
40.7549,-73.74548,QUEENS
40.69504,-73.797874,QUEENS
40.757668,-73.99483,MANHATTAN
40.765354,-73.81733,QUEENS
40.71894,-73.78215,QUEENS
40.752987,-73.884895,QUEENS
40.60981,-73.92251,BROOKLYN
40.699688,-73.73575,QUEENS
40.61822,-73.96293,BROOKLYN
40.67169,-73.79121,QUEENS
40.65735,-73.97405,BROOKLYN
40.683094,-73.80596,QUEENS
40.86769,-73.92122,MANHATTAN
40.66543,-73.806,QUEENS
40.71402,-73.99071,MANHATTAN
40.62418,-73.97048,BROOKLYN
40.835705,-73.88875,BRONX
40.806026,-73.92765,BRONX
40.73244,-73.925255,QUEENS
40.75915,-73.89644,QUEENS
40.845467,-73.92813,BRONX
40.730057,-73.999374,MANHATTAN
40.632244,-73.938,BROOKLYN
40.651646,-73.93233,BROOKLYN
40.822056,-73.920395,BRONX
40.66644,-73.95361,BROOKLYN
40.71976,-73.84369,QUEENS
40.60266,-73.74997,QUEENS
40.745224,-73.921135,QUEENS
40.83821,-73.82482,BRONX
40.879936,-73.85915,BRONX
40.755398,-73.86918,QUEENS
40.665245,-73.87513,BROOKLYN
40.85394,-73.91468,BRONX
40.690926,-73.92066,BROOKLYN
40.65958,-73.89247,BROOKLYN
40.643776,-74.078445,STATEN ISLAND
40.79193,-73.97191,MANHATTAN
40.76417,-73.83967,QUEENS
40.736855,-73.97853,MANHATTAN
40.67533,-73.93609,BROOKLYN
40.657608,-73.94232,BROOKLYN
40.680756,-73.813446,QUEENS
40.745827,-73.85626,QUEENS
40.837177,-73.90799,BRONX
40.78519,-73.94934,MANHATTAN
40.823074,-73.8918,BRONX
40.68694,-73.81414,QUEENS
40.691597,-73.991455,BROOKLYN
40.834934,-73.845436,BRONX
40.63223,-74.011856,BROOKLYN
40.707897,-73.76773,QUEENS
40.752895,-73.98925,MANHATTAN
40.61913,-73.99019,BROOKLYN
40.590572,-73.93999,BROOKLYN
40.698345,-73.890205,QUEENS
40.8746,-73.9097,BRONX
40.70261,-73.87257,QUEENS
40.825073,-73.9493,MANHATTAN
40.61674,-74.143265,STATEN ISLAND
40.628025,-73.89867,BROOKLYN
40.74703,-73.99722,MANHATTAN
40.762424,-73.831665,QUEENS
40.57529,-73.97655,BROOKLYN
40.719566,-73.94561,BROOKLYN
40.726116,-74.0016,MANHATTAN
40.57925,-74.07781,STATEN ISLAND
40.8165,-73.946556,MANHATTAN
40.829155,-73.93728,MANHATTAN
40.884426,-73.89541,BRONX
40.6557,-73.74486,QUEENS
40.89466,-73.86137,BRONX
40.620125,-73.96972,BROOKLYN
40.670948,-73.73731,QUEENS
40.745754,-73.73044,QUEENS
40.76496,-73.90532,QUEENS
40.760456,-73.98374,MANHATTAN
40.650337,-73.86849,BROOKLYN
40.64671,-73.95811,BROOKLYN
40.79935,-73.95908,MANHATTAN
40.83394,-73.9087,BRONX
40.885952,-73.8279,BRONX
40.65835,-74.00361,BROOKLYN
40.759243,-73.9847,MANHATTAN
40.55232,-74.190956,STATEN ISLAND
40.62081,-74.16034,STATEN ISLAND
40.872143,-73.818695,BRONX
40.852287,-73.890495,BRONX
40.63575,-74.0084,BROOKLYN
40.67911,-73.880615,BROOKLYN
40.728848,-73.75087,QUEENS
40.6429,-73.96067,BROOKLYN
40.753838,-73.805824,QUEENS
40.66484,-73.82229,QUEENS
40.677444,-73.83242,QUEENS
40.769608,-73.98569,MANHATTAN
40.582733,-73.96704,BROOKLYN
40.80209,-73.955826,MANHATTAN
40.74729,-73.99543,MANHATTAN
40.70145,-73.989624,BROOKLYN
40.709747,-73.82057,QUEENS
40.802753,-73.93358,MANHATTAN
40.759483,-73.904564,QUEENS
40.854675,-73.88529,BRONX
40.65958,-73.89247,BROOKLYN
40.763958,-73.82814,QUEENS
40.74573,-73.90212,QUEENS
40.723537,-73.94668,BROOKLYN
40.62418,-73.97048,BROOKLYN
40.6952,-73.92844,BROOKLYN
40.687428,-73.95305,BROOKLYN
40.575512,-73.98241,BROOKLYN
40.718555,-73.988205,MANHATTAN
40.70226,-73.840034,QUEENS
40.836617,-73.87377,BRONX
40.728966,-73.97687,MANHATTAN
40.853344,-73.881676,BRONX
40.734974,-73.97987,MANHATTAN
40.833588,-73.91498,BRONX
40.751076,-73.997986,MANHATTAN
40.748775,-73.80977,QUEENS
40.654984,-73.7284,QUEENS
40.719746,-73.955696,BROOKLYN
40.716675,-73.75502,QUEENS
40.661438,-73.73192,QUEENS
40.671364,-73.91975,BROOKLYN
40.65249,-73.95267,BROOKLYN
40.805412,-73.95656,MANHATTAN
40.809105,-73.9229,BRONX
40.708466,-73.94676,BROOKLYN
40.762836,-73.805405,QUEENS
40.81129,-73.90032,BRONX
40.740364,-73.89972,QUEENS
40.740498,-73.78696,QUEENS
40.58501,-73.954575,BROOKLYN
40.70678,-73.90888,QUEENS
40.804993,-73.911354,BRONX
40.6433,-74.09651,STATEN ISLAND
40.68389,-73.93823,BROOKLYN
40.65778,-73.951096,BROOKLYN
40.86769,-73.92122,MANHATTAN
40.806076,-73.92564,BRONX
40.604748,-73.99686,BROOKLYN
40.638172,-73.98526,BROOKLYN
40.59011,-73.97422,BROOKLYN
40.84041,-73.86268,BRONX
40.606865,-73.89829,BROOKLYN
40.65317,-73.866875,BROOKLYN
40.666836,-73.7664,QUEENS
40.76217,-73.7568,QUEENS
40.743427,-73.775475,QUEENS
40.758743,-73.804214,QUEENS
40.712006,-73.919266,QUEENS
40.64957,-73.93887,BROOKLYN
40.698257,-73.82039,QUEENS
40.853024,-73.88407,BRONX
40.75897,-73.807014,QUEENS
40.678703,-73.781746,QUEENS
40.715015,-73.741646,QUEENS
40.709686,-74.01168,MANHATTAN
40.74163,-73.9446,QUEENS
40.757263,-73.86365,QUEENS
40.73826,-73.79895,QUEENS
40.78858,-73.955284,MANHATTAN
40.637634,-73.95205,BROOKLYN
40.747627,-73.976746,MANHATTAN
40.77039,-73.954124,MANHATTAN
40.831978,-73.93515,MANHATTAN
40.89466,-73.86137,BRONX
40.64258,-73.91974,BROOKLYN
40.88845,-73.841965,BRONX
40.684494,-73.86169,QUEENS
40.741936,-73.97263,MANHATTAN
40.743427,-73.775475,QUEENS
40.673782,-73.87405,BROOKLYN
40.685085,-73.92948,BROOKLYN
40.67033,-73.774506,QUEENS
40.66968,-73.91075,BROOKLYN
40.87626,-73.90395,BRONX
40.865685,-73.823425,BRONX
40.76318,-73.98437,MANHATTAN
40.651005,-73.94571,BROOKLYN
40.887096,-73.83335,BRONX
40.691948,-73.730675,QUEENS
40.654278,-73.92292,BROOKLYN
40.797943,-73.94003,MANHATTAN
40.808163,-73.92653,BRONX
40.708508,-73.95071,BROOKLYN
40.77517,-73.92905,QUEENS
40.740025,-73.786316,QUEENS
40.788555,-73.78234,QUEENS
40.670555,-73.85634,QUEENS
40.81847,-73.9414,MANHATTAN
40.623768,-73.98907,BROOKLYN
40.650063,-73.90738,BROOKLYN
40.89193,-73.855156,BRONX
40.86028,-73.89405,BRONX
40.721424,-73.96054,BROOKLYN
40.86361,-73.928215,MANHATTAN
40.879948,-73.82339,BRONX
40.735283,-73.85984,QUEENS
40.679516,-73.956825,BROOKLYN
40.674934,-73.80186,QUEENS
40.672615,-74.0006,BROOKLYN
40.85244,-73.85421,BRONX
40.866837,-73.9037,BRONX
40.697727,-73.92454,BROOKLYN
40.676003,-73.865395,BROOKLYN
40.81903,-73.91262,BRONX
40.648567,-73.91781,BROOKLYN
40.66045,-73.86719,BROOKLYN
40.62375,-73.92423,BROOKLYN
40.85154,-73.918335,BRONX
40.703674,-73.91513,BROOKLYN
40.596424,-73.93649,BROOKLYN
40.627903,-73.92104,BROOKLYN
40.62459,-74.14129,STATEN ISLAND
40.69426,-73.91036,BROOKLYN
40.843193,-73.890045,BRONX
40.68159,-73.74459,QUEENS
40.71493,-73.976494,MANHATTAN
40.669975,-73.91988,BROOKLYN
40.7168,-73.78723,QUEENS
40.829155,-73.93728,MANHATTAN
40.67582,-73.930466,BROOKLYN
40.79337,-73.93274,MANHATTAN
40.688652,-73.84709,QUEENS
40.675568,-73.73378,QUEENS
40.626713,-73.94121,BROOKLYN
40.857418,-73.899956,BRONX
40.6229,-74.14943,STATEN ISLAND
40.70969,-73.84603,QUEENS
40.734985,-73.85066,QUEENS
40.673676,-73.86576,BROOKLYN
40.76066,-73.943306,QUEENS
40.808224,-73.93673,MANHATTAN
40.743416,-73.95387,QUEENS
40.80324,-73.95472,MANHATTAN
40.741764,-73.8809,QUEENS
40.688118,-73.93402,BROOKLYN
40.691895,-73.77822,QUEENS
40.778732,-73.79369,QUEENS
40.613895,-74.01051,BROOKLYN
40.655563,-73.87974,BROOKLYN
40.643894,-73.93826,BROOKLYN
40.650764,-73.95061,BROOKLYN
40.838875,-73.90266,BRONX
40.683544,-73.84855,QUEENS
40.71501,-73.77591,QUEENS
40.685356,-73.95057,BROOKLYN
40.778477,-73.98546,MANHATTAN
40.66919,-73.99682,BROOKLYN
40.68064,-73.95338,BROOKLYN
40.69939,-73.91938,BROOKLYN
40.688904,-73.980934,BROOKLYN
40.588924,-74.167625,STATEN ISLAND
40.758488,-73.97514,MANHATTAN
40.84737,-73.83187,BRONX
40.86502,-73.89277,BRONX
40.715076,-73.95189,BROOKLYN
40.827274,-73.904915,BRONX
40.63043,-73.88593,BROOKLYN
40.703728,-73.8151,QUEENS
40.787224,-73.95417,MANHATTAN
40.702614,-73.96058,BROOKLYN
40.648148,-74.01083,BROOKLYN
40.760777,-73.96672,MANHATTAN
40.711845,-73.859764,QUEENS
40.667156,-73.9101,BROOKLYN
40.882763,-73.824135,BRONX
40.728855,-73.92782,QUEENS
40.691227,-73.98214,BROOKLYN
40.54813,-74.19986,STATEN ISLAND
40.74106,-73.946106,QUEENS
40.549374,-74.152664,STATEN ISLAND
40.875145,-73.91216,BRONX
40.873474,-73.84914,BRONX
40.844677,-73.93886,MANHATTAN
