COLLISION_ID,Y,M,D,HH,MM,BOROUGH,LATITUDE,LONGITUDE,TRAFFIC STREET,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,DAY OF WEEK
4202340,2019,9,9,8,0,BROOKLYN,40.687977,-73.954834,BEDFORD AVENUE,0,0,Monday
4215883,2019,9,9,13,45,BROOKLYN,40.682846,-73.95382,BEDFORD AVENUE,1,0,Monday
4202751,2019,9,9,19,45,BROOKLYN,40.60216,-73.94707,BEDFORD AVENUE,1,0,Monday
4205957,2019,9,9,10,0,BROOKLYN,40.699707,-73.95718,BEDFORD AVENUE,0,0,Monday
4201906,2019,9,9,2,45,BROOKLYN,40.64787,-73.95574,BEDFORD AVENUE,0,0,Monday
4204536,2019,9,10,17,0,BROOKLYN,40.645027,-73.91998,RALPH AVENUE,0,0,Tuesday
4203528,2019,9,10,23,30,BROOKLYN,40.670124,-73.95528,BEDFORD AVENUE,1,0,Tuesday
4204544,2019,9,10,9,15,BROOKLYN,40.645027,-73.91998,RALPH AVENUE,0,0,Tuesday
4203548,2019,9,10,21,0,BROOKLYN,40.725616,-73.9445,NASSAU AVENUE,0,0,Tuesday
4204740,2019,9,11,13,15,BROOKLYN,40.711166,-73.9489,LORIMER STREET,1,0,Wednesday
4205744,2019,9,11,21,30,BROOKLYN,40.64663,-73.95566,BEDFORD AVENUE,2,0,Wednesday
4204768,2019,9,11,9,15,BROOKLYN,40.703434,-73.96035,BEDFORD AVENUE,0,0,Wednesday
4204371,2019,9,11,16,15,BRONX,40.88271,-73.881256,EAST GUN HILL ROAD,0,0,Wednesday
4204103,2019,9,12,0,0,BROOKLYN,40.669228,-73.9556,BEDFORD AVENUE,1,0,Thursday
4206932,2019,9,12,16,0,BROOKLYN,40.632095,-73.91861,RALPH AVENUE,0,0,Thursday
4204295,2019,9,12,9,30,BROOKLYN,40.59779,-73.946236,BEDFORD AVENUE,1,0,Thursday
4205078,2019,9,13,7,45,BROOKLYN,40.7206,-73.95476,BEDFORD AVENUE,0,0,Friday
4208674,2019,9,13,22,45,BROOKLYN,40.61669,-73.949814,BEDFORD AVENUE,1,0,Friday
4206915,2019,9,13,17,30,BROOKLYN,40.64208,-73.91967,RALPH AVENUE,0,0,Friday
4206216,2019,9,13,18,45,BROOKLYN,40.682846,-73.95382,BEDFORD AVENUE,5,0,Friday
4210820,2019,9,13,23,45,BRONX,40.880257,-73.876785,EAST GUN HILL ROAD,2,0,Friday
4204920,2019,9,13,8,45,BRONX,40.878643,-73.871605,EAST GUN HILL ROAD,0,0,Friday
4208361,2019,9,14,22,45,BRONX,40.879864,-73.87596,EAST GUN HILL ROAD,1,0,Saturday
