TRAFFIC ID,Y,M,D,HH,MM,BOROUGH,VOL,TRAFFIC STREET
64129,2019,9,9,8,0,BROOKLYN,102.0,BEDFORD AVENUE
64267,2019,9,9,13,45,BROOKLYN,90.0,BEDFORD AVENUE
64411,2019,9,9,19,45,BROOKLYN,96.0,BEDFORD AVENUE
64177,2019,9,9,10,0,BROOKLYN,62.0,BEDFORD AVENUE
64003,2019,9,9,2,45,BROOKLYN,11.0,BEDFORD AVENUE
64926,2019,9,10,17,0,BROOKLYN,134.0,RALPH AVENUE
65077,2019,9,10,23,30,BROOKLYN,79.0,BEDFORD AVENUE
64740,2019,9,10,9,15,BROOKLYN,122.0,RALPH AVENUE
65019,2019,9,10,21,0,BROOKLYN,54.0,NASSAU AVENUE
65408,2019,9,11,13,15,BROOKLYN,38.333333333333336,LORIMER STREET
65605,2019,9,11,21,30,BROOKLYN,102.0,BEDFORD AVENUE
65311,2019,9,11,9,15,BROOKLYN,76.0,BEDFORD AVENUE
258,2019,9,11,16,15,BRONX,224.25,EAST GUN HILL ROAD
65665,2019,9,12,0,0,BROOKLYN,63.0,BEDFORD AVENUE
66054,2019,9,12,16,0,BROOKLYN,189.75,RALPH AVENUE
65893,2019,9,12,9,30,BROOKLYN,76.0,BEDFORD AVENUE
66427,2019,9,13,7,45,BROOKLYN,38.0,BEDFORD AVENUE
66787,2019,9,13,22,45,BROOKLYN,97.0,BEDFORD AVENUE
66666,2019,9,13,17,30,BROOKLYN,220.0,RALPH AVENUE
66691,2019,9,13,18,45,BROOKLYN,99.0,BEDFORD AVENUE
480,2019,9,13,23,45,BRONX,99.25,EAST GUN HILL ROAD
420,2019,9,13,8,45,BRONX,172.08333333333334,EAST GUN HILL ROAD
572,2019,9,14,22,45,BRONX,115.5,EAST GUN HILL ROAD
575,2019,9,14,23,30,BRONX,109.16666666666669,EAST GUN HILL ROAD
66877,2019,9,14,2,30,BROOKLYN,48.0,BEDFORD AVENUE
725,2019,9,16,13,0,BRONX,170.83333333333334,EAST GUN HILL ROAD
206855,2019,9,16,23,30,MANHATTAN,16.0,WEST 162 STREET
68052,2019,9,16,19,15,BROOKLYN,263.0,RALPH AVENUE
356221,2019,9,16,19,15,QUEENS,167.5,SEAGIRT BOULEVARD
733,2019,9,16,15,0,BRONX,191.66666666666663,EAST GUN HILL ROAD
356321,2019,9,17,7,45,QUEENS,282.375,SEAGIRT BOULEVARD
802,2019,9,17,8,15,BRONX,185.58333333333331,EAST GUN HILL ROAD
68250,2019,9,17,8,45,BROOKLYN,249.0,RALPH AVENUE
68440,2019,9,17,20,45,BROOKLYN,122.0,AVENUE N
68588,2019,9,18,8,0,BROOKLYN,165.0,AVENUE N
1544,2019,9,20,8,30,BRONX,107.0,EAST 156 STREET
356983,2019,9,20,18,30,QUEENS,201.5,SEAGIRT BOULEVARD
1686,2019,9,20,20,15,BRONX,192.5,EAST GUN HILL ROAD
1536,2019,9,20,7,45,BRONX,198.58333333333331,EAST GUN HILL ROAD
358711,2019,9,21,16,0,QUEENS,75.5,PARSONS BOULEVARD
358703,2019,9,21,16,0,QUEENS,126.0,FRANCIS LEWIS BOULEVARD
207081,2019,9,21,18,15,MANHATTAN,81.0,BROADWAY
358966,2019,9,21,18,30,QUEENS,63.0,JAMAICA AVENUE
358966,2019,9,21,18,30,QUEENS,63.0,JAMAICA AVENUE
70518,2019,9,21,14,45,BROOKLYN,62.5,60 STREET
358376,2019,9,21,12,45,QUEENS,113.0,UNION TURNPIKE
70280,2019,9,21,12,0,BROOKLYN,257.0,ATLANTIC AVENUE
70962,2019,9,21,19,45,BROOKLYN,243.0,ATLANTIC AVENUE
71215,2019,9,21,22,30,BROOKLYN,56.0,NOSTRAND AVENUE
207027,2019,9,21,13,45,MANHATTAN,104.5,BROADWAY
358453,2019,9,21,13,30,QUEENS,46.5,SPRINGFIELD BOULEVARD
70434,2019,9,21,13,45,BROOKLYN,301.5,ATLANTIC AVENUE
1896,2019,9,21,13,45,BRONX,209.16666666666663,EAST GUN HILL ROAD
359243,2019,9,21,21,15,QUEENS,71.75,80 STREET
70798,2019,9,21,17,45,BROOKLYN,119.0,SUTTER AVENUE
358610,2019,9,21,15,0,QUEENS,186.0,UNION TURNPIKE
69243,2019,9,21,0,15,BROOKLYN,78.5,65 STREET
69243,2019,9,21,0,15,BROOKLYN,78.5,65 STREET
69244,2019,9,21,0,15,BROOKLYN,32.0,8 AVENUE
357884,2019,9,21,8,15,QUEENS,100.0,188 STREET
359126,2019,9,21,20,0,QUEENS,179.0,NORTHERN BOULEVARD
71314,2019,9,21,23,45,BROOKLYN,137.5,ATLANTIC AVENUE
358060,2019,9,21,9,45,QUEENS,208.25,NORTHERN BOULEVARD
358060,2019,9,21,9,45,QUEENS,208.25,NORTHERN BOULEVARD
357975,2019,9,21,9,0,QUEENS,114.0,FRANCIS LEWIS BOULEVARD
71738,2019,9,22,4,15,BROOKLYN,10.0,NOSTRAND AVENUE
361300,2019,9,22,14,45,QUEENS,118.0,FRANCIS LEWIS BOULEVARD
72660,2019,9,22,14,15,BROOKLYN,99.0,SUTTER AVENUE
459111,2019,9,22,23,15,STATEN ISLAND,34.0,HYLAN BOULEVARD
362298,2019,9,22,23,0,QUEENS,65.5,NORTHERN BOULEVARD
207153,2019,9,22,0,15,MANHATTAN,59.5,BROADWAY
71382,2019,9,22,0,30,BROOKLYN,108.0,ATLANTIC AVENUE
458503,2019,9,22,15,15,STATEN ISLAND,143.5,HYLAN BOULEVARD
359890,2019,9,22,3,0,QUEENS,6.0,FRANCIS LEWIS BOULEVARD
72831,2019,9,22,16,15,BROOKLYN,231.0,ATLANTIC AVENUE
207297,2019,9,22,12,15,MANHATTAN,69.0,BROADWAY
72490,2019,9,22,12,30,BROOKLYN,140.5,AVENUE P
72336,2019,9,22,10,45,BROOKLYN,90.5,NOSTRAND AVENUE
361689,2019,9,22,18,0,QUEENS,224.0,COLLEGE POINT BOULEVARD
458731,2019,9,22,18,15,STATEN ISLAND,132.5,HYLAN BOULEVARD
361732,2019,9,22,18,15,QUEENS,75.0,UNION TURNPIKE
361998,2019,9,22,20,30,QUEENS,125.75,NORTHERN BOULEVARD
207396,2019,9,22,20,30,MANHATTAN,52.5,BROADWAY
2259,2019,9,22,20,0,BRONX,177.0,EAST GUN HILL ROAD
361886,2019,9,22,19,45,QUEENS,129.0,188 STREET
361821,2019,9,22,19,0,QUEENS,28.0,SPRINGFIELD BOULEVARD
207360,2019,9,22,17,30,MANHATTAN,60.5,BROADWAY
361630,2019,9,22,17,30,QUEENS,98.0,FRANCIS LEWIS BOULEVARD
72096,2019,9,22,8,15,BROOKLYN,39.5,AVENUE J
360142,2019,9,22,5,0,QUEENS,2.5,UNION TURNPIKE
457534,2019,9,22,2,30,STATEN ISLAND,17.5,HYLAN BOULEVARD
73372,2019,9,22,22,0,BROOKLYN,75.0,RALPH AVENUE
362219,2019,9,22,22,30,QUEENS,31.75,32 AVENUE
457420,2019,9,22,1,0,STATEN ISLAND,35.0,HYLAN BOULEVARD
457430,2019,9,22,1,0,STATEN ISLAND,63.66666666666666,VICTORY BOULEVARD
359644,2019,9,22,1,0,QUEENS,22.25,80 STREET
71422,2019,9,22,1,0,BROOKLYN,30.0,5 AVENUE
207668,2019,9,23,19,15,MANHATTAN,21.5,AUDUBON AVENUE
364565,2019,9,23,19,15,QUEENS,96.0,FRANCIS LEWIS BOULEVARD
363372,2019,9,23,8,30,QUEENS,109.0,UNION TURNPIKE
363372,2019,9,23,8,30,QUEENS,109.0,UNION TURNPIKE
459814,2019,9,23,8,30,STATEN ISLAND,173.5,HYLAN BOULEVARD
363333,2019,9,23,8,15,QUEENS,86.0,FRANCIS LEWIS BOULEVARD
74489,2019,9,23,9,45,BROOKLYN,174.0,RALPH AVENUE
363420,2019,9,23,9,0,QUEENS,52.0,JAMAICA AVENUE
207570,2019,9,23,11,0,MANHATTAN,76.5,BROADWAY
74824,2019,9,23,13,0,BROOKLYN,293.0,ATLANTIC AVENUE
363874,2019,9,23,13,0,QUEENS,77.0,PARSONS BOULEVARD
75011,2019,9,23,14,45,BROOKLYN,36.0,8 AVENUE
460232,2019,9,23,14,0,STATEN ISLAND,175.25,HYLAN BOULEVARD
74500,2019,9,23,10,0,BROOKLYN,264.0,ATLANTIC AVENUE
363519,2019,9,23,10,0,QUEENS,86.75,32 AVENUE
364700,2019,9,23,20,30,QUEENS,74.25,80 STREET
75580,2019,9,23,20,0,BROOKLYN,179.0,ATLANTIC AVENUE
363173,2019,9,23,6,45,QUEENS,187.75,NORTHERN BOULEVARD
459689,2019,9,23,6,45,STATEN ISLAND,290.0,TARGEE STREET
363112,2019,9,23,6,15,QUEENS,20.0,JAMAICA AVENUE
207588,2019,9,23,12,30,MANHATTAN,84.5,BROADWAY
207582,2019,9,23,12,0,MANHATTAN,82.5,BROADWAY
363764,2019,9,23,12,0,QUEENS,87.0,UNION TURNPIKE
74786,2019,9,23,12,30,BROOKLYN,166.0,RALPH AVENUE
75716,2019,9,23,21,15,BROOKLYN,75.5,AVENUE J
363277,2019,9,23,7,45,QUEENS,64.0,FRANCIS LEWIS BOULEVARD
363201,2019,9,23,7,0,QUEENS,213.5,NORTHERN BOULEVARD
74265,2019,9,23,7,45,BROOKLYN,155.0,AVENUE N
364079,2019,9,23,15,0,QUEENS,130.75,32 AVENUE
75124,2019,9,23,15,45,BROOKLYN,49.5,AVENUE M
364461,2019,9,23,18,15,QUEENS,229.0,NORTHERN BOULEVARD
207663,2019,9,23,18,45,MANHATTAN,90.5,BROADWAY
207663,2019,9,23,18,45,MANHATTAN,90.5,BROADWAY
460428,2019,9,23,16,30,STATEN ISLAND,159.5,RICHMOND ROAD
460449,2019,9,23,16,45,STATEN ISLAND,244.0,TARGEE STREET
364309,2019,9,23,17,0,QUEENS,123.0,BELL BOULEVARD
364317,2019,9,23,17,0,QUEENS,136.5,KISSENA BOULEVARD
75326,2019,9,23,17,30,BROOKLYN,221.0,RALPH AVENUE
364993,2019,9,23,23,0,QUEENS,65.25,NORTHERN BOULEVARD
78496,2019,9,24,23,45,BROOKLYN,26.0,NOSTRAND AVENUE
208002,2019,9,24,23,0,MANHATTAN,44.5,BROADWAY
366058,2019,9,24,8,30,QUEENS,69.0,PARSONS BOULEVARD
461652,2019,9,24,8,45,STATEN ISLAND,195.0,BAY STREET
207999,2019,9,24,22,45,MANHATTAN,39.0,BROADWAY
366141,2019,9,24,9,15,QUEENS,219.0,NORTHERN BOULEVARD
76985,2019,9,24,9,15,BROOKLYN,69.5,EAST NEW YORK AVENUE
76945,2019,9,24,9,0,BROOKLYN,218.5,65 STREET
77735,2019,9,24,16,30,BROOKLYN,101.0,CLINTON STREET
77727,2019,9,24,16,30,BROOKLYN,325.0,ATLANTIC AVENUE
462265,2019,9,24,16,45,STATEN ISLAND,235.0,HYLAN BOULEVARD
77701,2019,9,24,16,15,BROOKLYN,346.0,ATLANTIC AVENUE
77560,2019,9,24,14,45,BROOKLYN,125.0,NOSTRAND AVENUE
77498,2019,9,24,14,15,BROOKLYN,139.0,AVENUE P
