Y,M,D,HH,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover_low (%),windspeed_10m (km/h),winddirection_10m (°)
2019,9,9,8,19.0,0.0,0.0,10.0,11.5,44.0
2019,9,9,13,19.0,0.0,0.0,21.0,8.9,47.0
2019,9,9,19,23.2,0.1,0.1,32.0,7.6,93.0
2019,9,9,10,18.2,0.0,0.0,5.0,11.1,29.0
2019,9,9,2,21.6,0.0,0.0,8.0,3.9,56.0
2019,9,10,17,22.9,0.1,0.1,44.0,8.9,166.0
2019,9,10,23,23.4,0.0,0.0,2.0,12.1,163.0
2019,9,10,9,18.6,0.0,0.0,20.0,3.2,63.0
2019,9,10,21,24.3,0.0,0.0,22.0,11.2,180.0
2019,9,11,13,21.7,0.0,0.0,43.0,18.4,230.0
2019,9,11,21,28.7,0.0,0.0,19.0,7.5,253.0
2019,9,11,9,20.8,0.0,0.0,7.0,13.8,219.0
2019,9,11,16,25.7,0.0,0.0,94.0,15.8,253.0
2019,9,12,0,26.5,0.0,0.0,0.0,7.8,214.0
2019,9,12,16,25.1,0.0,0.0,35.0,10.9,34.0
2019,9,12,9,23.4,0.0,0.0,6.0,5.6,297.0
2019,9,13,7,16.8,0.0,0.0,21.0,14.7,54.0
2019,9,13,22,19.6,0.0,0.0,49.0,14.7,126.0
2019,9,13,17,20.3,0.0,0.0,78.0,17.8,104.0
2019,9,13,18,20.4,0.0,0.0,86.0,17.9,112.0
2019,9,13,23,19.1,0.0,0.0,19.0,12.9,126.0
2019,9,13,8,16.2,0.0,0.0,10.0,14.6,52.0
2019,9,14,22,22.8,0.0,0.0,93.0,9.4,180.0
2019,9,14,23,22.7,0.0,0.0,90.0,8.8,189.0
2019,9,14,2,17.6,0.0,0.0,51.0,13.2,133.0
2019,9,16,13,20.9,0.0,0.0,1.0,4.8,13.0
2019,9,16,23,22.0,0.0,0.0,19.0,2.3,141.0
2019,9,16,19,23.6,0.0,0.0,43.0,3.0,14.0
2019,9,16,19,23.6,0.0,0.0,43.0,3.0,14.0
2019,9,16,15,22.7,0.0,0.0,5.0,6.3,13.0
2019,9,17,7,18.4,0.0,0.0,50.0,10.7,20.0
2019,9,17,8,17.7,0.0,0.0,37.0,11.0,19.0
2019,9,17,8,17.7,0.0,0.0,37.0,11.0,19.0
2019,9,17,20,23.8,0.0,0.0,0.0,12.3,7.0
2019,9,18,8,15.8,0.0,0.0,7.0,6.4,27.0
2019,9,20,8,12.7,0.0,0.0,0.0,9.6,250.0
2019,9,20,18,23.2,0.0,0.0,0.0,10.7,284.0
2019,9,20,20,24.2,0.0,0.0,0.0,9.8,276.0
2019,9,20,7,13.1,0.0,0.0,0.0,8.2,241.0
2019,9,21,16,24.6,0.0,0.0,0.0,1.1,18.0
2019,9,21,16,24.6,0.0,0.0,0.0,1.1,18.0
2019,9,21,18,27.2,0.0,0.0,0.0,2.1,211.0
2019,9,21,18,27.2,0.0,0.0,0.0,2.1,211.0
2019,9,21,18,27.2,0.0,0.0,0.0,2.1,211.0
2019,9,21,14,19.9,0.0,0.0,0.0,4.5,331.0
2019,9,21,12,16.0,0.0,0.0,0.0,6.6,292.0
2019,9,21,12,16.0,0.0,0.0,0.0,6.6,292.0
2019,9,21,19,26.9,0.0,0.0,0.0,3.1,216.0
2019,9,21,22,23.9,0.0,0.0,0.0,5.2,155.0
2019,9,21,13,17.7,0.0,0.0,0.0,4.3,312.0
2019,9,21,13,17.7,0.0,0.0,0.0,4.3,312.0
2019,9,21,13,17.7,0.0,0.0,0.0,4.3,312.0
2019,9,21,13,17.7,0.0,0.0,0.0,4.3,312.0
2019,9,21,21,25.0,0.0,0.0,0.0,3.0,166.0
2019,9,21,17,26.7,0.0,0.0,0.0,0.7,180.0
2019,9,21,15,22.0,0.0,0.0,0.0,3.6,360.0
2019,9,21,0,20.9,0.0,0.0,0.0,7.8,248.0
2019,9,21,0,20.9,0.0,0.0,0.0,7.8,248.0
2019,9,21,0,20.9,0.0,0.0,0.0,7.8,248.0
2019,9,21,8,16.4,0.0,0.0,0.0,9.4,268.0
2019,9,21,20,24.9,0.0,0.0,0.0,3.4,198.0
2019,9,21,23,23.5,0.0,0.0,0.0,6.4,164.0
2019,9,21,9,16.0,0.0,0.0,0.0,9.7,266.0
2019,9,21,9,16.0,0.0,0.0,0.0,9.7,266.0
2019,9,21,9,16.0,0.0,0.0,0.0,9.7,266.0
2019,9,22,4,18.9,0.0,0.0,0.0,7.9,227.0
2019,9,22,14,20.4,0.0,0.0,1.0,5.2,192.0
2019,9,22,14,20.4,0.0,0.0,1.0,5.2,192.0
2019,9,22,23,25.2,0.0,0.0,3.0,11.3,173.0
2019,9,22,23,25.2,0.0,0.0,3.0,11.3,173.0
2019,9,22,0,21.5,0.0,0.0,0.0,7.4,166.0
2019,9,22,0,21.5,0.0,0.0,0.0,7.4,166.0
2019,9,22,15,23.7,0.0,0.0,3.0,8.1,193.0
2019,9,22,3,19.0,0.0,0.0,0.0,7.1,225.0
2019,9,22,16,25.2,0.0,0.0,8.0,10.6,198.0
2019,9,22,12,16.9,0.0,0.0,0.0,3.6,264.0
2019,9,22,12,16.9,0.0,0.0,0.0,3.6,264.0
2019,9,22,10,16.6,0.0,0.0,0.0,5.2,245.0
2019,9,22,18,27.7,0.0,0.0,10.0,10.8,201.0
2019,9,22,18,27.7,0.0,0.0,10.0,10.8,201.0
2019,9,22,18,27.7,0.0,0.0,10.0,10.8,201.0
2019,9,22,20,28.2,0.0,0.0,0.0,13.0,177.0
2019,9,22,20,28.2,0.0,0.0,0.0,13.0,177.0
2019,9,22,20,28.2,0.0,0.0,0.0,13.0,177.0
2019,9,22,19,28.1,0.0,0.0,0.0,11.0,191.0
2019,9,22,19,28.1,0.0,0.0,0.0,11.0,191.0
2019,9,22,17,26.5,0.0,0.0,16.0,11.3,202.0
2019,9,22,17,26.5,0.0,0.0,16.0,11.3,202.0
2019,9,22,8,17.5,0.0,0.0,0.0,8.2,255.0
2019,9,22,5,18.2,0.0,0.0,0.0,8.4,223.0
2019,9,22,2,20.0,0.0,0.0,0.0,6.9,208.0
2019,9,22,22,26.3,0.0,0.0,5.0,11.3,171.0
2019,9,22,22,26.3,0.0,0.0,5.0,11.3,171.0
2019,9,22,1,20.6,0.0,0.0,0.0,6.5,186.0
2019,9,22,1,20.6,0.0,0.0,0.0,6.5,186.0
2019,9,22,1,20.6,0.0,0.0,0.0,6.5,186.0
2019,9,22,1,20.6,0.0,0.0,0.0,6.5,186.0
2019,9,23,19,30.4,0.0,0.0,0.0,16.6,222.0
2019,9,23,19,30.4,0.0,0.0,0.0,16.6,222.0
2019,9,23,8,21.5,0.0,0.0,0.0,12.6,217.0
2019,9,23,8,21.5,0.0,0.0,0.0,12.6,217.0
2019,9,23,8,21.5,0.0,0.0,0.0,12.6,217.0
2019,9,23,8,21.5,0.0,0.0,0.0,12.6,217.0
2019,9,23,9,21.3,0.0,0.0,0.0,12.3,218.0
2019,9,23,9,21.3,0.0,0.0,0.0,12.3,218.0
2019,9,23,11,20.6,0.0,0.0,0.0,8.9,212.0
2019,9,23,13,21.9,0.0,0.0,0.0,11.5,229.0
