Y,M,D,HH,MM,BOROUGH_x,LATITUDE,LONGITUDE,STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover_low (%),windspeed_10m (km/h),winddirection_10m (°),BOROUGH_y,VOL,DIRECTION
2019,9,2,0,0,BROOKLYN,40.625996,-73.99076,58 STREET,16 AVENUE,,0,0,21.5,0.0,0.0,5.0,13.3,128.0,QUEENS,74,SB
2019,9,9,8,0,,40.687977,-73.954834,BEDFORD AVENUE,,,0,0,19.0,0.0,0.0,10.0,11.5,44.0,BROOKLYN,102,NB
2019,9,9,13,45,,40.682846,-73.95382,BEDFORD AVENUE,,,1,0,19.0,0.0,0.0,21.0,8.9,47.0,BROOKLYN,90,NB
2019,9,9,19,45,BROOKLYN,40.60216,-73.94707,BEDFORD AVENUE,AVENUE T,,1,0,23.2,0.1,0.1,32.0,7.6,93.0,BROOKLYN,96,NB
2019,9,9,10,0,BROOKLYN,40.699707,-73.95718,BEDFORD AVENUE,WALLABOUT STREET,,0,0,18.2,0.0,0.0,5.0,11.1,29.0,BROOKLYN,62,NB
2019,9,9,2,45,BROOKLYN,40.64787,-73.95574,BEDFORD AVENUE,ALBEMARLE ROAD,,0,0,21.6,0.0,0.0,8.0,3.9,56.0,BROOKLYN,11,NB
2019,9,10,17,0,BROOKLYN,40.645027,-73.91998,RALPH AVENUE,CLARENDON ROAD,,0,0,22.9,0.1,0.1,44.0,8.9,166.0,BROOKLYN,118,NB
2019,9,10,23,30,,40.670124,-73.95528,BEDFORD AVENUE,,,1,0,23.4,0.0,0.0,2.0,12.1,163.0,BROOKLYN,79,NB
2019,9,10,9,15,,40.645027,-73.91998,RALPH AVENUE,DITMAS AVENUE,,0,0,18.6,0.0,0.0,20.0,3.2,63.0,BROOKLYN,144,SB
2019,9,10,21,0,BROOKLYN,40.725616,-73.9445,NASSAU AVENUE,RUSSELL STREET,,0,0,24.3,0.0,0.0,22.0,11.2,180.0,BROOKLYN,54,EB
2019,9,11,13,15,,40.711166,-73.9489,LORIMER STREET,,,1,0,21.7,0.0,0.0,43.0,18.4,230.0,BROOKLYN,42,NB
2019,9,11,21,30,BROOKLYN,40.64663,-73.95566,BEDFORD AVENUE,TILDEN AVENUE,,2,0,28.7,0.0,0.0,19.0,7.5,253.0,BROOKLYN,102,NB
2019,9,11,9,15,BROOKLYN,40.703434,-73.96035,BEDFORD AVENUE,WILLIAMSBURG STREET WEST,,0,0,20.8,0.0,0.0,7.0,13.8,219.0,BROOKLYN,76,NB
2019,9,11,16,15,,40.88271,-73.881256,EAST GUN HILL ROAD,,,0,0,25.7,0.0,0.0,94.0,15.8,253.0,BRONX,166,WB
2019,9,12,0,0,,40.669228,-73.9556,BEDFORD AVENUE,,,1,0,26.5,0.0,0.0,0.0,7.8,214.0,BROOKLYN,63,NB
2019,9,12,16,0,BROOKLYN,40.632095,-73.91861,RALPH AVENUE,FLATLANDS AVENUE,,0,0,25.1,0.0,0.0,35.0,10.9,34.0,BROOKLYN,137,SB
