Y,M,D,HH,MM,BOROUGH_x,LATITUDE_x,LONGITUDE_x,STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover_low (%),windspeed_10m (km/h),winddirection_10m (°),BOROUGH_y,VOL,DIRECTION,LATITUDE_y,LONGITUDE_y
2020,1,25,14,30,STATEN ISLAND,40.57201,-74.146996,ARTHUR KILL ROAD,RICHMOND ROAD,,0.0,0,4.9,0.2,0.2,95.0,24.0,77.0,STATEN ISLAND,185,SB,40.57588442800455,-74.12725162297505
2020,1,25,14,30,STATEN ISLAND,40.57201,-74.146996,ARTHUR KILL ROAD,RICHMOND ROAD,,0.0,0,4.9,0.2,0.2,95.0,24.0,77.0,STATEN ISLAND,222,EB,40.57493710006232,-74.12851259356368
2020,1,25,14,30,STATEN ISLAND,40.57201,-74.146996,ARTHUR KILL ROAD,RICHMOND ROAD,,0.0,0,4.9,0.2,0.2,95.0,24.0,77.0,STATEN ISLAND,183,EB,40.57585382162095,-74.12453631691666
2020,1,25,14,30,STATEN ISLAND,40.57201,-74.146996,ARTHUR KILL ROAD,RICHMOND ROAD,,0.0,0,4.9,0.2,0.2,95.0,24.0,77.0,STATEN ISLAND,216,WB,40.576162914312654,-74.12625722520421
2020,1,25,14,30,STATEN ISLAND,40.57201,-74.146996,ARTHUR KILL ROAD,RICHMOND ROAD,,0.0,0,4.9,0.2,0.2,95.0,24.0,77.0,STATEN ISLAND,223,WB,40.57493710006232,-74.12851259356368
2020,1,25,14,30,STATEN ISLAND,40.57201,-74.146996,ARTHUR KILL ROAD,RICHMOND ROAD,,0.0,0,4.9,0.2,0.2,95.0,24.0,77.0,STATEN ISLAND,260,NB,40.57588442800455,-74.12725162297505
2020,1,25,14,30,STATEN ISLAND,40.57201,-74.146996,ARTHUR KILL ROAD,RICHMOND ROAD,,0.0,0,4.9,0.2,0.2,95.0,24.0,77.0,STATEN ISLAND,269,WB,40.57585382162095,-74.12453631691666
2020,1,25,14,30,STATEN ISLAND,40.57201,-74.146996,ARTHUR KILL ROAD,RICHMOND ROAD,,0.0,0,4.9,0.2,0.2,95.0,24.0,77.0,STATEN ISLAND,87,EB,40.576162914312654,-74.12625722520421
2020,1,27,16,0,STATEN ISLAND,40.6094,-74.09011,NARROWS ROAD NORTH,RICHMOND ROAD,,0.0,0,5.2,0.0,0.0,39.0,16.6,257.0,STATEN ISLAND,170,NB,40.57588442800455,-74.12725162297505
2020,1,27,16,0,STATEN ISLAND,40.6094,-74.09011,NARROWS ROAD NORTH,RICHMOND ROAD,,0.0,0,5.2,0.0,0.0,39.0,16.6,257.0,STATEN ISLAND,224,WB,40.57493710006232,-74.12851259356368
2020,1,27,16,0,STATEN ISLAND,40.6094,-74.09011,NARROWS ROAD NORTH,RICHMOND ROAD,,0.0,0,5.2,0.0,0.0,39.0,16.6,257.0,STATEN ISLAND,411,WB,40.57585382162095,-74.12453631691666
