Y,M,D,HH,MM,BOROUGH_x,LATITUDE,LONGITUDE,STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover_low (%),windspeed_10m (km/h),winddirection_10m (°),BOROUGH_y,VOL
2019,9,3,14,45,QUEENS,40.724182,-73.911354,56 DRIVE,MAURICE AVENUE,,0,0,22.3,0.0,0.0,0.0,7.6,25.0,QUEENS,157.0
2019,9,9,9,0,BROOKLYN,40.668373,-73.92264,EASTERN PARKWAY,RALPH AVENUE,,1,0,18.3,0.0,0.0,14.0,11.6,36.0,BROOKLYN,130.2
2019,9,9,11,45,,40.62194,-73.91753,AVENUE M,RALPH AVENUE,,0,0,17.9,0.0,0.0,7.0,11.9,29.0,BROOKLYN,115.6
2019,9,9,19,0,BROOKLYN,40.724636,-73.94818,MC GUINNESS BOULEVARD,NASSAU AVENUE,,0,0,23.2,0.1,0.1,32.0,7.6,93.0,BROOKLYN,61.0
2019,9,10,16,0,BROOKLYN,40.72597,-73.94074,SUTTON STREET,NASSAU AVENUE,,0,0,22.7,0.0,0.0,66.0,8.1,159.0,BROOKLYN,96.0
2019,9,10,14,45,BROOKLYN,40.64059,-73.95429,AVENUE D,BEDFORD AVENUE,,0,0,20.6,0.0,0.0,76.0,5.1,135.0,BROOKLYN,112.0
2019,9,10,13,15,,40.868473,-73.842415,EASTCHESTER ROAD,EAST GUN HILL ROAD,,3,0,20.1,0.0,0.0,74.0,3.3,103.0,BRONX,151.91666666666666
2019,9,11,14,15,BROOKLYN,40.667095,-73.92276,EAST NEW YORK AVENUE,RALPH AVENUE,,1,0,22.7,0.0,0.0,73.0,18.6,238.0,BROOKLYN,160.0
2019,9,11,11,15,BROOKLYN,40.599907,-73.94664,AVENUE U,BEDFORD AVENUE,,0,0,20.8,0.0,0.0,2.0,12.2,225.0,BROOKLYN,69.0
2019,9,11,9,15,,40.71679,-73.94982,MEEKER AVENUE,LORIMER STREET,,1,0,20.8,0.0,0.0,7.0,13.8,219.0,BROOKLYN,43.333333333333336
2019,9,13,14,45,,40.868473,-73.842415,EASTCHESTER ROAD,EAST GUN HILL ROAD,,1,0,17.7,0.0,0.0,47.0,15.9,85.0,BRONX,231.91666666666663
2019,9,14,12,0,BROOKLYN,40.638878,-73.95405,FLATBUSH AVENUE,BEDFORD AVENUE,,0,0,18.8,0.0,0.0,100.0,6.5,161.0,BROOKLYN,92.0
2019,9,14,14,0,BROOKLYN,40.638878,-73.95405,FLATBUSH AVENUE,BEDFORD AVENUE,,0,0,20.4,0.0,0.0,100.0,11.2,174.0,BROOKLYN,85.0
2019,9,14,15,15,BROOKLYN,40.694576,-73.95615,MYRTLE AVENUE,BEDFORD AVENUE,,1,0,21.7,0.0,0.0,81.0,15.1,180.0,BROOKLYN,83.0
2019,9,15,18,15,BROOKLYN,40.650528,-73.95583,CHURCH AVENUE,BEDFORD AVENUE,,1,0,24.8,0.0,0.0,2.0,7.0,282.0,BROOKLYN,95.0
2019,9,15,9,15,BROOKLYN,40.714066,-73.94938,METROPOLITAN AVENUE,LORIMER STREET,,0,0,20.8,0.0,0.0,92.0,5.2,295.0,BROOKLYN,42.0
2019,9,15,8,45,BRONX,40.88271,-73.881256,JEROME AVENUE,EAST GUN HILL ROAD,,0,0,21.0,0.0,0.0,89.0,4.7,279.0,BRONX,97.83333333333331
2019,9,16,14,45,BRONX,40.875492,-73.86052,BRONXWOOD AVENUE,EAST GUN HILL ROAD,,0,0,21.5,0.0,0.0,4.0,5.6,15.0,BRONX,208.08333333333331
2019,9,16,17,45,BRONX,40.878643,-73.871605,WEBSTER AVENUE,EAST GUN HILL ROAD,,1,0,22.9,0.0,0.0,31.0,4.7,9.0,BRONX,232.5
2019,9,17,6,0,BROOKLYN,40.61721,-73.945076,NOSTRAND AVENUE,AVENUE N,,0,0,18.7,0.0,0.0,52.0,10.0,26.0,BROOKLYN,35.0
2019,9,17,15,15,BRONX,40.878643,-73.871605,WEBSTER AVENUE,EAST GUN HILL ROAD,,4,0,21.2,0.0,0.0,0.0,9.7,22.0,BRONX,210.41666666666663
2019,9,17,9,45,BRONX,40.882217,-73.88046,DEKALB AVENUE,EAST GUN HILL ROAD,,0,0,16.8,0.0,0.0,13.0,11.0,19.0,BRONX,180.08333333333334
2019,9,18,16,30,BRONX,40.879055,-73.87439,PERRY AVENUE,EAST GUN HILL ROAD,,0,0,19.0,0.0,0.0,69.0,13.0,42.0,BRONX,240.33333333333331
2019,9,21,18,30,,40.708855,-73.778175,182 PLACE,JAMAICA AVENUE,,1,0,27.2,0.0,0.0,0.0,2.1,211.0,QUEENS,63.0
2019,9,21,14,30,BROOKLYN,40.637127,-73.99711,11 AVENUE,50 STREET,,2,0,19.9,0.0,0.0,0.0,4.5,331.0,BROOKLYN,56.0
2019,9,21,10,45,BROOKLYN,40.639782,-74.00151,9 AVENUE,50 STREET,,0,0,15.0,0.0,0.0,0.0,8.6,285.0,BROOKLYN,49.0
2019,9,21,10,15,BROOKLYN,40.678722,-73.952995,BEDFORD AVENUE,ATLANTIC AVENUE,,0,0,15.0,0.0,0.0,0.0,8.6,285.0,BROOKLYN,254.5
2019,9,21,10,45,BROOKLYN,40.688515,-73.99294,DEAN STREET,COURT STREET,,0,0,15.0,0.0,0.0,0.0,8.6,285.0,BROOKLYN,96.0
2019,9,21,10,15,BROOKLYN,40.675842,-73.99905,HUNTINGTON STREET,COURT STREET,,0,0,15.0,0.0,0.0,0.0,8.6,285.0,BROOKLYN,124.0
2019,9,21,12,30,,40.71137,-74.00862,PARK ROW,BROADWAY,,0,0,16.0,0.0,0.0,0.0,6.6,292.0,MANHATTAN,85.5
2019,9,21,22,30,BROOKLYN,40.696983,-73.935234,BROADWAY,MYRTLE AVENUE,,1,0,23.9,0.0,0.0,0.0,5.2,155.0,QUEENS,37.5
